Area,Cases,Population,Coordinates
Leicester,5028,1416,52.6361398 -1.1330789
Wrexham,1336,983,53.0465068 -2.9938137
Blackburn with Darwen,1458,979,53.699176949999995 -2.4709000953138327
Merthyr Tydfil,580,961,51.7490624 -3.3786183
Bradford,5156,960,53.7944229 -1.7519186
Oldham,2179,925,35.3907651 -102.6193428
Rochdale,1897,862,53.6153659 -2.1557561
Denbighshire,801,837,53.1097895 -3.367128402684635
Barnsley,1998,815,53.5527719 -1.4827755
Bedford,1362,794,40.0271453 -78.5237447
Rhondda Cynon Taf,1877,778,51.66516365 -3.4577557723845347
Rotherham,2045,773,53.4310417 -1.355187
Blackpool,1049,753,53.8182212 -3.0564845
Luton,1586,741,51.8784385 -0.4152837
Sheffield,4313,740,53.3806626 -1.4702278
Peterborough,1471,732,52.5725769 -0.2427336
Tameside,1643,730,53.4786454 -2.0770211633705165
Bury,1359,715,49.3132772 2.3439338
Bolton,2010,704,53.5782863 -2.4300367
Middlesbrough,976,694,54.5760419 -1.2344047
Knowsley,1018,681,53.4552358 -2.8546852
St. Helens,1213,674,53.4535471 -2.7343231
Wigan,2191,672,53.5457188 -2.6264624
Hartlepool,617,662,54.6857276 -1.2093696
Isle of Anglesey,460,657,53.27816025 -4.347871127822403
Doncaster,2033,655,53.5227681 -1.1335312
Sunderland,1790,645,54.9058512 -1.3828727
Dundee City,960,643,56.473845999999995 -2.96641895351409
Wirral,2075,642,53.3409714 -3.0500916
Warrington,1345,642,53.3899497 -2.5943178
Gateshead,1297,641,54.9625789 -1.6019294
County Durham,3364,638,54.68483225 -1.774017169596316
South Tyneside,956,636,54.969874250000004 -1.4476805465645368
Cardiff,2322,633,51.4816546 -3.1791934
Conwy,721,615,53.1460931 -3.759920155777771
Trafford,1450,613,53.41893605 -2.359297161165271
Manchester,3354,613,53.4794892 -2.2451148
Stockport,1782,611,53.407901 -2.160243
"Kingston upon Hull, City of",1576,605,53.7435722 -0.3394758
Cheshire West and Chester,2051,602,53.16379785 -2.7285361135416943
Lancashire,7191,594,53.8611703 -2.5650887919475496
Cheshire East,2258,593,53.1673422 -2.2928802778613573
Vale of Glamorgan,788,590,51.4470646 -3.395207949001259
Salford,1492,587,53.4877463 -2.2891921
Stoke-on-Trent,1498,586,53.0162014 -2.1812607
Sandwell,1888,577,52.5151278 -2.013562373718973
Midlothian,531,574,55.833333 -3.083333
Cumbria,2861,574,54.6143136 -2.9420983340597866
Darlington,610,572,54.5242081 -1.5555812
Newport,884,572,41.4899827 -71.3137707
Sefton,1573,571,53.5034122 -2.9714708
Kirklees,2476,564,53.64226345 -1.7809432689150708
Wolverhampton,1478,564,52.5847651 -2.127567
Halton,705,549,53.35385255 -2.7427828785393507
Walsall,1555,549,52.5847949 -1.9822687
Brent,1810,547,32.9373463 -87.1647184
Wakefield,1873,543,53.6829541 -1.4967286
Swansea,1328,538,51.6195955 -3.9459248
Blaenau Gwent,375,537,51.75338175 -3.184855509462492
Harrow,1328,531,51.5967688 -0.33727515543507014
Kent,8196,523,51.2474823 0.7105077
Liverpool,2585,522,53.407154 -2.991665
Redcar and Cleveland,711,520,54.5679056 -1.0054963165760897
Newcastle upon Tyne,1555,518,54.9738474 -1.6131572
Derby,1332,518,52.9212617 -1.4761491
Sutton,1036,507,30.5672947 -100.6432359
Stockton-on-Tees,984,499,54.564094 -1.3129164
Northumberland,1592,497,55.25 -2.000559
Leeds,3895,494,53.7974185 -1.5437941
Reading,803,492,51.456659 -0.9696512
Croydon,1890,491,51.3713049 -0.101957
East Riding of Yorkshire,1656,488,53.873596500000005 -0.5347787525091569
Leicestershire,3342,479,52.666667 -1.0
Northamptonshire,3576,478,52.25 -0.833333
Flintshire,745,477,53.216509599999995 -3.1402189049730413
Gwynedd,594,477,52.9089585 -3.8335244282124785
East Dunbartonshire,517,476,55.933333 -4.2
Ealing,1622,474,51.5126553 -0.3051952
Oxfordshire,3256,474,51.833333 -1.25
West Dunbartonshire,421,473,55.966667 -4.533333
Southwark,1493,471,51.5029222 -0.103458
Neath Port Talbot,673,470,51.66895565 -3.72181789580636
Merton,963,467,51.410802849999996 -0.18809850595572736
Bromley,1540,465,51.4028046 0.0148142
Birmingham,5308,465,52.4796992 -1.9026911
"Herefordshire, County of",886,461,52.083333 -2.75
Warwickshire,2601,456,52.32130635 -1.5467857874161073
Slough,675,453,51.5111014 -0.5940682
Shropshire,1446,452,52.65233935 -2.7958678599236624
Central Bedfordshire,1280,451,51.99803275 -0.47915142854055964
North Tyneside,928,451,55.02979945 -1.5082559996141889
Inverclyde,350,450,55.9 -4.75
Bexley,1108,448,39.9692378 -82.936864
Staffordshire,3867,442,52.824694199999996 -2.0074546723348115
York,926,441,53.9590555 -1.0815361
Solihull,936,436,52.4130189 -1.7768935
Lambeth,1418,435,51.5013012 -0.117287
Derbyshire,3446,433,53.1185033 -1.5566179305872212
Carmarthenshire,813,431,51.893669849999995 -4.217282721429928
Barnet,1685,430,51.65309 -0.2002261
Kingston upon Thames,753,429,51.4096275 -0.3062621
North Lincolnshire,737,429,53.589744100000004 -0.6023230295256561
North Somerset,914,427,51.39663045 -2.769128923864108
Hammersmith and Fulham,791,427,51.4920377 -0.2236401
Calderdale,892,425,53.720474800000005 -1.9622886329676708
North Yorkshire,2582,420,54.13453275 -1.498628491239545
Belfast,1432,420,54.5964411 -5.9302761
Dudley,1340,418,52.5110832 -2.0816813
Swindon,926,417,51.5613683 -1.7856853
Hounslow,1125,416,51.4686132 -0.3613471
Lewisham,1249,412,51.4624325 -0.0101331
Caerphilly,744,411,51.6723809 -3.178393772876317
Worcestershire,2429,410,52.2109495 -2.156955513242221
South Lanarkshire,1313,410,55.583333 -3.833333
Monmouthshire,384,406,51.7501058 -2.8333331
Surrey,4733,398,51.2715316 -0.3414523511290909
Medway,1101,396,51.4157386 0.5687308512408333
Falkirk,635,395,56.00205085 -3.749622841384784
